App,Description,Rating,Number of ratings,Price,Dangerous permissions count,Safe permissions count,Class,Package,Related apps
Kotak Mobile Stock Trader,"Kotak Mobile Stock Trader is a unique stock trading app that allows you to trade, view quotes, track portfolio, track market movements, analyse market trends and view personalised watch lists instantly. It gives you more power while you???re on the move. As an introductory offer, this app is free for download to all.",4.6,89,0.0,3,2,1,com.msf.kotak,"['com.snapwork.icici', 'org.InvestarMobile.androidapp', 'com.msf.nse', 'com.adore.stock']"
Forex Calendar,"Set alarms for economic events and trade with the news. Strategy inside.<p>Don't miss any economic event while on move with our push technology for instant delivery of data to your phone<p>Set alarms for any economic event based on delivery time or the actual value released. Get informed without the need to constantly monitor data.<p>Make money by trading the news with the strategy inside.<p>Install it, try it and you'll love the service!!!<p>Afther the TRIAL period (15 days) you must purchase a subscription for an extended period.",3.4,44,0.0,2,4,1,com.pba.a.calendar,"['air.com.fxapps.EconomicCalendar', 'com.yproky.fxCalendar', 'com.fxbeta.news', 'com.microspeck.forex.alert']"
Texas Title Rate Calculator,Texas Title Rate Calculator calculates the title policy premium according to the current rates set forth by the Texas Department of Insurance.,2.0,1,0.0,1,0,1,com.fntg.fntic.mobile.RateCalcTx,['palmagent.ChicagoAgent.TX']
Community First CU FL,Community First Credit Union brings mobile banking to your Android. Features include:<p>View account balances and transaction histories<br>Transfer money between your accounts<br>Pay your bills and view recent payments<br>GPS powered branch and<br>ATM search<p>Mobile Banking is FREE and SECURE.,3.9,21,0.0,2,0,1,com.mshift.cfcu,"['com.softek.ofxclmobile.communityfirstcu', 'hlhnp.personal.vystar', 'com.mshift.nutmegstatefcu', 'org.fccu']"
SMS Key TM,"SMS Key TM helps you in logging in / signing transactions in your internet bank.<p>Are you tired at reading and entering SMS codes in your internet bank? If yes, this app is for you.<p>SMS Key capture and process SMS passwords and codes (so called SMS OTP), and show it quickly before you can even unlock the screen of your phone! It is even more confortable if you use internet bank / mobile bank on your phone, as the code is copied to the clipboard automatically.<p>The application is designed to be secure, no any permission is used that could be used to share your password with anyone unintentionally.<p>The SMS Key supports banks in more than 15 countries all around the world such as: Hungary, Poland, Germany, Slovakia, Czech Republic, Austria, Russia, Ukrain, Turkey, Singapore, Vietnam, Nederland, Saud Arabia, Norway, Switzerland, Malta, Sweden, Malaysia, Hong Kong.<br>Full list of intituions supported can be found on the blog of SMS Key: <a href=""http://www.google.com/url?q=http://www.bankdroid.info/p/banks-supported.html&usg=AFQjCNHmc4fimODf8mLlcaPdnzt-53iARw"" target=""_blank"">http://www.bankdroid.info/p/banks-supported.html</a><p>Isn't your bank listed on the site? Don't worry! Submit a sample of SMS message of your bank, and it will be included in the next release.<p>Note: SMS Key TM may have conflict with applicatons that processing SMS such as GO SMS Pro, or Handcent SMS. These applications may have option to let other apps to process SMS too. You should enable it in order to use SMS Key TM.<p>Keywords: idea, trust, easy, care, multi, millenium, mobile, cash, tax, chartered, orange, blue, sky, kasse, erste, volks, spar, post, saudi, gsm, alfa, forum, credit, money, finance, open, plus, play, ing, Budapest,  przelew, po??tovn??, Suisse, Austria, Asya, standard",4.9,46,0.0,3,0,1,bankdroid.smskey,"['cellum.android.mastercard.mobile', 'pl.infinitesoftware.nakoncie', 'pl.bankoid', 'com.moczul.przelewy']"
Chase Mobile,"Our Chase Mobile App makes it easy for you to bank on the go 24/7.<p>Free* Chase Mobile(R) App ??? Customized for Android(TM) users.<p>If you own an Android device, try banking on the go! Our exclusive Android application makes it easy for you to:<p>BANK WITH CONFIDENCE 24/7 ??? If you???re enrolled in Chase Online(SM), you can pay bills and credit cards; see account balances and transaction history; transfer money between your accounts; and even send wire transfers. We also use multiple safeguard technologies to help protect your information.<p>FIND US ??? Locate your nearest Chase branch or ATM quickly and easily.<p>CONTACT US ??? Talk to our service representatives; they???re just a touch away.<p>MAKE A DEPOSIT ??? With Chase QuickDeposit(SM), you can save a trip to the bank by using your Android device to make a deposit.<p>CHASE PERSON-TO-PERSON QUICKPAY - Send money to nearly anyone with a U.S. bank account just by using an email address or mobile phone number. The App uses your contact data so you can easily add people to your Chase QuickPay(SM) contact list.<p>EDIT AND CANCEL PAYMENTS - You can now make changes to pending credit card payments, transfers, wires or bill payments.<p>SEE REWARDS ??? See your credit card and debit card rewards information.<p>BLUEPRINT(SM) ??? We???ve made it even easier to stick to your plan.  Now you can view and make your BLUEPRINT credit card payment from your Android device.<p>Some features are available for eligible customers and accounts only.<p>*There is no charge from Chase, but data rates may apply.<br>Android is a trademark of Google Inc.<p>htc  EVO(TM) is a trademark of HTC Corporation.",4.4,37598,0.0,5,0,1,com.chase.sig.android,"['com.americanexpress.android.acctsvcs.us', 'com.discoverfinancial.mobile', 'com.Vertifi.DeposZip', 'INGDIRECT.android']"
CALCOASTCU Mobile Banking,"California Coast Credit Union - Enjoy the convenience of mobile banking with Cal Coast Mobile. It???s fast, secure and completely free!* <p>Features<br>   - Check balances<br>   - View transaction history <br>   - Transfer funds to accounts, loans and to other members <br>   - Graph your finances <br>   - Find a nearby ATM, branch or CU Service Center (shared branch)<p>*Mobile banking requires members to be enrolled in Cal Coast Online banking. Mobile phone carrier charges may apply for internet access. Contact your mobile phone provider for information regarding those charges.",4.6,7,0.0,6,0,0,com.softek.ofxclmobile.calcoastcu,"['com.softek.ofxclmobile.communityfirstcu', 'org.cabrillo.mobile', 'com.ifs.androidmobilebanking.fiid3265', 'org.mission.mobile']"
MetaTrader 5,"MetaTrader 5: Trade Forex and Stocks at any time, at any place!<p>MetaTrader 5 is a mobile trading platform designed for Forex and Stock market trading. The application allows you to connect to a broker, receive quotes, make financial deals, and check your trading history. All of that is free of charge and available to you from anywhere in the world!<p>With the MetaTrader 5 you may use real trading accounts and demo accounts. Moreover, demo accounts can be opened directly from the mobile trading application. After login you gain the full access to the trading software options. <p>Now you can get prices of financial instruments in a real-time mode, conduct trading operations using the full set of trading orders and execution modes. Thus you may implement any trading strategy. At any time and at any place you may refer to your trading history and find out the profitability of your trading activity.<p>Wide capabilities of the MetaTrader 5 Trading platform are now always with you. Download the MetaTrader 5 to be always in touch with the financial markets and your trading account!",3.7,40,0.0,3,2,1,net.metaquotes.metatrader5,"['com.hymarkets.trader', 'com.alpari.fs.trader', 'com.admiralmarkets.trader', 'com.fxpro.trader']"
Financial Calculators Lite,"A collection of 70+ calculators albeit mostly finance related in one easy to use app. Lite version is ad supported. Furthermore, you are able to copy, share, and export calculations. More financial calculators coming and feel free to e-mail me suggestions, problems, and the like. <p>At Present:<br>    Annuity - Future Value calculator<br>    Annuity - Payment (FV) calculator<br>    Annuity Due - Future Value calculator<br>    Annuity Due Payment (FV) calculator<br>    Currency Converter<br>    Average Collection Period calculator<br>	BMI Calculator calculator<br>	Bond Equivalent Yield calculator<br>	Capital Gains Yield calculator<br>	Compound Interest calculator<br>	Continuous Compounding calculator<br>	Current Ratio calculator<br>	Days in Inventory calculator<br>	Debt Ratio calculator<br>	Debt to Equity Ratio (D/E) calculator<br>	Debt to Income Ratio calculator<br>	Decibels of Change calculator<br>	Dividend Payout Ratio calculator<br>	Dividend Yield (Stock) calculator<br>	Discount Calculator calculator<br>	Dividends Per Share calculator<br>	Doubling Time calculator<br>	Doubling Time - Continuous Compounding calculator<br>	Earnings Per Share calculator<br>	Equity Multiplier calculator<br>	Estimated Earnings calculator<br>	Future Value calculator<br>	Future Value Continuous Compounding calculator<br>	Future Value Factor calculator<br>	Growing Annuity - Future Value calculator<br>	Growing Annuity Payment - PV calculator<br>	Growing Annuity - Present Value calculator<br>	Growing Perpetuity - Present Value calculator<br>	Interest Coverage Ratio calculator<br>	Inventory Turnover Ratio calculator<br>	Loan - Balloon Balance calculator<br>    Loan - Payment calculator<br>    Loan - Remaining Balance calculator<br>    Loan to Deposit Ratio calculator<br>    Loan to Value Ratio calculator<br>	Mortgage Calculator calculator<br>	Net Asset Value calculator<br>	Net Profit Margin calculator<br>	Net Working Capital calculator<br>	Ohm's Law calculator<br>	Payback Period calculator<br>	Perpetuity calculator<br>	Planetary Age Calculator calculator<br>	Planetary Weight Calculator calculator<br>    Preferred Stock calculator<br>    Present Value calculator<br>    Present Value - Continuous Compounding calculator<br>    Price to Book Value calculator<br>    Price Earnings Ratio calculator<br>    Price to Sales Ratio calculator<br>    Quick Ratio calculator<br>	Random Password Generator calculator<br>    Rate Of Inflation calculator<br>    Receivables Turnover Ratio calculator<br>    Retention Ratio calculator<br>    Return on Assets (ROA) calculator<br>    Return on Equity (ROE) calculator<br>    Return on Investment (ROI) calculator<br>    Risk Premium calculator<br>    Rule of 72 calculator<br>	Sales Tax Calculator calculator<br>	Simple Interest calculator<br>	Stock - PV with Constant Growth calculator<br>	Tax Equivalent Yield calculator<br>	Total Stock Return calculator<br>	Tip Calculator calculator   <br>    Zero Coupon Bond Value calculator  <br>    Zero Coupon Bond Yield calculator",4.3,32,0.0,2,1,0,com.flufflydelusions.app.commoncalculationlite,"['com.adworkz.pms.mobile.tools.calculators_2001.com', 'com.cactusapps.android.cfcalc', 'com.quadddd.cpi', 'com.bizar.MoneySmart']"
SHBA,"Location the nearest branch with our location-based maps<p>To help make your life easier to help make life more economical <br>Shinhan now offers 'SHBA Find Branches'application for Smartphone <br>Shinhan's Global Financial Network meets America's Branches Service <br>Now all Shinhan customers have access to 'SHBA Find Branches'application <br>You will enjoy all the benefits from Shinhan! <br>With this application, you can conveniently : <br>- Location the nearest branch with our location-based maps <br>- What's more, you can also find SHINHAN BANK America Branches across countries. <br>(Available in USA) <p>The application is now available in : CA(California), NY(New York), NJ(New Jersey), TX(Texas) <br>Copyright 2011 SHINHAN BANK America(SHBA)",0.0,0,0.0,5,3,1,com.shinhan.s_search,"['com.ifs.mobilebanking.fiid3542', 'org.bom.bank', 'com.hyundai.ezforex.ui', 'com.quantec.Stock']"
Wikinvest Portfolio,"Track all of your investment accounts, all in one place with Wikinvest Portfolio<p>Wikinvest Portfolio for Android is the first portfolio that tracks all of your investment accounts, all in one place. Set up your investment and finance accounts on Wikinvest.com, or add them directly from the application so you can follow all of your investments wherever you go.<p>Wikinvest's secure connection automatically imports your stock, ETF, and mutual fund holdings into one view and updates nightly so you never have to enter your trades or holdings into a portfolio management tool again.<p>Highlights of the app include:<br>* Link and aggregate multiple brokerage accounts and track your investments on the go<br>* Compare your performance to major indices<br>* Get a quick glance at today???s change in your portfolio and individual holdings<br>* Explore news and charts related to your portfolio<br>* Dive into company analyses delivered directly from Wikinvest???s 3,000+ articles<br>* Get partial valuation, balance sheet, and income financials<p>You can import holdings from over 60+ brokerages, including:??? American Funds, Ameriprise Financial, Ameritrade, BB&T Investment Services, Bear Sterns, Bernstein, Capital One, Charles Schwab, Chase Investment Services, Choice Trade, Citi Wealth Management, Citibank, Citigroup, Cobra Trading, Credit Suisse, D.A. Davidson, Deutsche Bank, ETrade, Edward Jones, Fidelity, Fiduciary Trust, Franklin Templeton, Goldman Sachs, Hewitt Associates, Financial Services, ING, Intuit 401K, Invesco, Ivy Funds, J.P. Morgan, J.P. Morgan Private Banking, Janney Montgomery Scott, Janus, Jefferies and Co., Lightspeed, MB Trading, Mercer 401K, Merrill Edge, Merrill Lynch Direct, Merrill Lynch Online, Metlife, Morgan Keegan & Co., Morgan Stanley ClientServ, Morgan Stanley Smith Barney, Muriel Siebert (myStreetscape), Northern Trust, Oppenheimer & Co., Options House, OptionsXpress, PNC, Pershing, Principal Financial Group, Prudential, RBC Wealth Management, Robert W. Baird & Co., Salmon Smith Barney, Schwab, Scottrade, Sharebuilder (ING), SpeedTrader, T. Rowe Price, TD Ameritrade, TIAA-CREF Brokerage Service, Thinkorswim, TradeMONSTER, UBS, US Bank, USAA, VALIC 401K, Vanguard, Wachovia, Waddell & Reed, Washington Mutual, and Zecco.<p>Don't see your brokerage* in the list? Let us know, and we'll be sure to add it as soon as possible. You can still use the Wikinvest Portfolio with watchlists and manually created portfolios from Wikinvest.com.<p>To send feedback on the Wikinvest Portfolio, email us at??<a href=""mailto:android-support@wikinvest.com"" target=""_blank"">android-support@wikinvest.com</a>!<p>Security<br>???Our servers are protected by 24/7 on-site security???. We use 256-bit SSL encryption (bank-level) for all of our data and none of your data is personally identifiable.  Our portfolio tracker is read-only, you cannot make trades from our platform. We have been reviewed by Verisign, McAfee, TRUSTe. See also <a href=""http://www.google.com/url?q=http://www.wikinvest.com/site/About_Wikinvest_Security&usg=AFQjCNGk1uQ0256rLa4dyt2yi_Za3eFqVg"" target=""_blank"">http://www.wikinvest.com/site/About_Wikinvest_Security</a>.<p>Press<br>The new portfolio-management tool from Wikinvest.com is already the most advanced of its kind&quot; - Barron's<p>Other mentions by TechCrunch, Wired, VentureBeat, and more.<p>Coverage<p>Track company financials and metrics. Follow the movement of the Dow, S&P 500 and Nasdaq indexes in the US. On the international plane, follow the S&P TSX, CAC 40, FTSE 100, German DAX, Shanghai, and Nikkei 225. Supported commodities include gold, silver, platinum, oil, brent crude, gasoline, wheat, beef and lumber. Currencies include USD, EUR, JPY, GBP, and CAD.<br> <br>News<p>News from a wide range of top sources including: Reuters, Bloomberg, the Wall Street Journal, The New York Times, BusinessWeek, MarketWatch, Forbes, Financial Times, CNN Money, The Economist, BBC, The Guardian, Motley Fool, The Street, TechCrunch, Fabtech, ClusterStock, CFO, Market Intelligence Center, CNBC, StreetInsider, FX Street, The Globe and Mail, The Economic Times, NIKKEI, Business Times and many more.<br> <br>* Brokerage import is limited to U.S. brokerages that support OFX at this time. <br>???**Options and fixed income products can be imported, but historical prices are not supported.",3.9,486,0.0,1,1,0,com.wikinvest.wikinvest,"['com.digitalkozak.sa', 'com.sbanks.portfoliotracker', 'com.acquasys.invest', 'com.msportfolio']"
Total Calculator,"Simple, Standard, Scientific, Statistics Unit Conversion, Date Calculation<p>??? Important: Application at the top of the screen will display your mobile ad.<p>??? English support<br>   Was translated using Google translator<br>   There are many mistranslation. Please understand.<p>??? its application has been optimized for 480 * 800. <p>Simple Calculator: arithmetic calculations <p>Standard Calculator: arithmetic, and %, parenthesis, square, square root calculations <p>Scientific Calculator: Trigonometric functions, squares, square roots, and other ... (Valid digits: 34) <p>Statistics calculator: On average, sum, standard deviation calculation<p>Unit Conversion: Length, width, weight, speed, and other unit conversions<p>Date Calculation: Calculate the difference between two dates<p>Other: history management, preferences, and help",4.6,732,0.0,4,2,0,app.kwc.math.totalcalc,"['net.etaxkorea.yangdo', 'com.androidside.koreacounterfeitmoney', 'com.hwanisoft.hsfical', 'love.wish']"
No 1 Call Identifier,"???This free app reveals an unknown caller's identity instantly.<p>??? This award winning app automatically identifies incoming callers that are not in your contacts. <br>It searches international directories and displays the name of the caller as the phone rings and after a missed call.<p>??? 100% FREE Caller ID App, only network charges<p>??? Top #1 in the &quot;Top&quot; Free&quot; on Android Market for weeks<p>??? Best Caller ID app for worldwide coverage<p>===================================<p>??? MORE FEATURES ???<p>??? Link the app with your Facebook account which allows you to see your realtime friends status and photo when they call.<p>??? The app recommends other businesses in the same area if the business you call does not answer<p>??? Reverse number search allows you to do a manual number-to-name search<p>??? Update contacts adds additional data from directories (e.g. address) to your existing contacts<p>???Call blocker diverts calls from withheld numbers and numbers you define straight to your voicemail<p>Please note that 3G is required for caller lookup and withheld numbers cannot be identified.<p>===================================<p>??? DIRECTORIES SEARCHED ???  <p>Yellowbook. Yellowpages.ca, DasTelefonbuch, Herold, <a href=""http://www.google.com/url?q=http://auskunft.at&usg=AFQjCNGVejggQ9dYnO1Nl4eH86Npbo9d7Q"" target=""_blank"">auskunft.at</a>, Lokaldelen.se, Truvo, Telefonkonyv, De Gule Sider (DGS), Zlatestranky.cz, Zlatestranky.sk, PKT.pl <a href=""http://www.google.com/url?q=http://yellowpages.com.tr&usg=AFQjCNHWSkkb2Xkab2EXb08OBk-X9tYsHw"" target=""_blank"">yellowpages.com.tr</a>, <a href=""http://www.google.com/url?q=http://yellowpages.com.eg&usg=AFQjCNEtmkE-ZxH0nalSdemNXUkX226-ew"" target=""_blank"">yellowpages.com.eg</a><p>===================================<p>??? KEYWORDS ???<p>Adaffix adaffix caller Anrufer opkald callerapp ruft App App phonecals live realtime leben Echtzeit Lookup lookup name adress city Echtzeit-Lookup Name Adresse Stadt Anruferkennung adaffix shows the true caller behind a number Callerid Caller see who is calling sehen wer anruft callername gelb wei?? WhitePages yellowpages Anzeige Das Telefonbuch yellow white display se hvem der ringer se vem som ringer Denmark Danmark Dansk DK Sweden  Sverige Svenska SE Germany Deutschland Bundesrepublik Deutschland Deutsch DE D Austria ??sterreich Republik ??sterreich AT Hungary Magyarorszag Magyarorsz??g HU Slovakia Slovak Republic Slovensko Slovensk?? republika SK Czech Republic ??esk?? republika CZ Turkey T??rkiye Republic of Turkey T??rkiye Cumhuriyeti TR Poland Polish Polska Republic of Poland Rzeczpospolita Kashubian P??lsk?? Rep??blika Polsko Republika PL United States of America U.S USA US English Eng Canada Canadian CA",3.2,29,0.0,9,1,1,us1.adaffix.android,"['com.adaffix.eupb.glb.android', 'com.adaffix.calling.bear.glb.android']"
Personal Ledger,"App to keep track of everyday monetary transactions. Ability to save,view,edit,log transactions.<p>v1.1 PIN/Password protection. Default PIN 0000<br>Problem exists if upgrading from v1.0.0 sorry bout tht.<p>Export/restore coming soon.Don't 4get 2 RATE/COMMENT :)<p>keywords: account keeping,manage money,finance,credit,debit,wallet",3.8,313,0.0,0,0,0,name.supreeth.android.ledger,"['ch.dulce.myexpenses', 'net.operace.spendingmonitor', 'com.hansprestige.jmoney', 'arnodenhond.cashlog']"
Insider Trade Alert,"Others charge $xx.00/month, this only costs you $2.99 forever, no monthly fee.<p>This app monitors the website of US Securities and Exchange Commission, and shows the transactions of insider buys and insider sells reported on the website in real time in US stock market; you will hear &quot;you got it&quot; when the total worth of an insider buy transaction is over significant amount,and a beep sound for a sell.",3.8,4,2.99,2,0,1,com.amarphadke.stocks.activity,"['com.cousinHub.Nasdaq100_PRO', 'com.androidologist.stockstatus', 'com.portfoliofeedrss', 'com.alienhive.stockpricealerts']"
Compound Interest Calculator,This Compound Interest Calculator helps determine how much your savings will grow over the years. This calculator takes a lump sum of money and compounds it monthly over a fixed period of time at a fixed annual yield. Plus it allows you to add periodic contributions before compounding.,4.2,31,0.0,1,0,0,com.cityjams.calculators.compoundinterest,"['com.adworkz.pms.mobile.tools.calculators_2001.com', 'com.MobileAnarchy.Android.CapitalizationCalculator', 'tm.app.amortizationCalculator', 'com.roicalculatorfree']"
PG&E Mobile Bill Pay,"Looking for a fast and convenient way to pay your PG&E bill? PG&E Mobile Bill Pay??? helps you pay your bill on time and manage future payments from the convenience of mobile smart phone.<p>FEATURES: <p>???Save your PG&E Accounts. You only have to enter your PG&E account and payment information once <br>???Want to know how much you need to pay? No problem. Amount due information is sent directly to you. <br>???Pay using your Bank account, VISA?? and MasterCard?? credit/debit cards <br>???Your payment posts same day* <br>???Payment history -- receipts sent directly to your inbox <br>???Find a PG&E local customer service office near you <p>*Payments made before 5 p.m. Pacific Time will be posted that day, payments after 5 p.m. Pacific Time will be posted the following day. <p><br>*CONVENIENCE FEE: <p>TIO Networks will charge a $1.45 convenience fee for each payment. <p><br>ABOUT SECURITY: <p>Protecting your privacy and the confidentiality of your personal information has always been fundamental to the way we do business. You can feel confident that we take the appropriate steps necessary to ensure your personal information is always protected. <p>PG&E Mobile Bill Pay users are protected by: <p>???Security features which include but are not limited to firewalls, intrusion detection systems, and data encryption. <br>???Internationally-recognized security standards and practices. <br>???Multifactor security protocol to ensure passwords and profiles remain confidential. <p>We are committed to protecting the privacy and security of your personal information. See our Privacy Policy at <a href=""http://www.google.com/url?q=http://www.mytioexpress.com/mobile/policy/&usg=AFQjCNERIBoD4PpN10g1jR6h9lW-GtJRog"" target=""_blank"">www.mytioexpress.com/mobile/policy/</a> <p><br>ABOUT CUSTOMER SUPPORT: <p>24/7 support is available via phone and email. Contact information is provided in the application. <p><br>If you have any questions/comments/suggestions, please send us feedback at <a href=""mailto:androidfeedback@tionetworks.com"" target=""_blank"">androidfeedback@tionetworks.com</a>",3.6,28,0.0,3,2,0,com.tio.pge,"['com.softek.ofxclmobile.techcu', 'com.ifs.androidmobilebanking.fiid3503', 'com.ifs.androidmobilebanking.fiid4049', 'com.softek.ofxclmobile.valleyfirstcu']"
Amortization Calculator,"General purpose load amortization schedule calculator: mortgage or any other.<p>General purpose load amortization schedule calculator: mortgage, auto load or any other loan.<p>Features:<br>* Flexible: variable interest terms, loan terms, payment periods & equal payment settings (principal or principal+interest).<br>* Send results by e-mail (+CSV)",3.7,23,0.0,1,0,1,tm.app.amortizationCalculator,"['j.Ryko.LoanDissolverLite', 'com.idexsoft.loan.calc', 'portfoliodm.com.calculator', 'com.MobileAnarchy.Android.CapitalizationCalculator']"
Smart Live Markets droidTrader,"Trading for Smart Live Markets customers powered by Forex On The Go Technology<p>Smart Live Markets droidTrader, powered by Forex On The Go Technology, allows free mobile MT4 trading for all new and existing clients. <p>Features Include: <br>- Trading from a real-time live tick chart <br>- Ability to use all symbols available <br>- Place Buy and Sell orders <br>- Place Pending orders <br>- Set Stop-Loss and Take-Profit <br>- Close and Modify Existing Orders <br>- View Real Time Profit/Loss of Live Trades <br>- View Past history <br>- Real-time interactive currency charts<br>- Real-time market price overview <br>- Fibonacci Retracement Calculator <br>- Pivot Point Calculator <br>- Profit Calculator <br>- And more... <p>Smart Live Financial Services Ltd (trading as Smart Live Markets) is a young, dynamic and forward thinking company, conceived in 2008 and founded in 2009. They provide access to over a thousand markets worldwide on state of the art trading platforms, and are able to offer bespoke markets to certain clients if there is sufficient demand. <p>Disclaimer:<br>???Trading Forex can be extremely risky, by use and/or download of this software you acknowledge that you have fully read and understand our End User License Agreement and Risk Disclosure available at <a href=""http://www.google.com/url?q=http://www.ForexOnTheGo.com&usg=AFQjCNElSnGxlsRoiJNH7sO9T-SnNU600Q"" target=""_blank"">www.ForexOnTheGo.com</a>, and that you agree to the terms set forth therein. MT4 is a product of MetaQuotes Software Corp.",3.6,7,0.0,1,0,1,com.forexonthego.android.forex.smartlive,"['com.msf.mbt', 'com.microspeck.forex.alert', 'com.xogee.trader', 'com.liteforex.trader']"
Mileage,"Track your fuel economy across multiple vehicles with ease!<p>* Please perform a SQLite backup before upgrading, just in case! *<p>Mileage 3.0 is here! Mileage 3.0 represents a huge improvement to Mileage. Key features:<br>* Multiple vehicle support<br>* All new charts (thanks to aiCharts)<br>* Customizable fillup fields<br>* Per-vehicle measurement units<br>* All new statistics<br>* Vastly improved CSV importing<br>* Streamlined import and export<br>* Automatic SD card backups<br>* All new vehicle types<br>* Service interval templates<br>* Much, much more!<p>Note: your service intervals will not be migrated! Please re-create them manually afterward!<p>Mileage 3.0 features a new graphical refresh, courtesy of Steve Albright! Please go check out his Clutch Pad application!<p>The charting library was donated by ArtfulBits; their aiCharts engine is fantastic and I highly recommend you check it out.",4.4,6761,0.0,2,1,0,com.evancharlton.mileage,"['com.tf', 'stefanot.unibas.afuel.vista', 'com.wiresareobsolete.tripmaster', 'nl.freshsolutions.kmregistratie']"
Vanguard,"Vanguard - Advisors<p>As a financial advisor, you need access to product information, investment research, and economic commentary when you???re on the road. Vanguard???s Financial Advisor mobile app makes it easy to:<p>???   Monitor price and performance information on Vanguard ETFs and mutual funds. <br>???   Create and follow your investment watch list.<br>???   Get the latest Vanguard product news and Market news. <br>???   Tap into proprietary research and commentary.<br>???   Share information with colleagues or clients quickly and easily.<p>(We???ve created a separate app for investors.)<p>Disclosures<br>All investments are subject to risk.<p>**Vanguard ETF Shares can be bought and sold only through a broker (who may charge a commission) and cannot be redeemed with the issuing fund. The market price of Vanguard ETF Shares may be more or less than net asset value.**<p>**Visit <a href=""http://www.google.com/url?q=http://advisors.vanguard.com&usg=AFQjCNEDD8G2JPjpjrFHfI9EWKFgYExNjQ"" target=""_blank"">advisors.vanguard.com</a> to obtain a fund prospectus, which contains investment objectives, risks, charges, expenses, and other information; read and consider carefully before investing.**<p>Vanguard Marketing Corporation, Distributor.",4.6,16,0.0,3,0,0,com.vanguard.advisors,"['com.msportfolio', 'com.pershing.netxpro.liberty.mobile.screen', 'com.acquasys.invest', 'com.reliancemutual.reliancemf']"
anMoney (FREE),"Would you believe there could be a personal finance checkbook and budget app on your phone as powerful as Microsoft Money or Quicken on the desktop?<p>&quot;...you are getting a fantastic, powerful application that does a terrifc job of helping you get your finances in order. It's not quite like having an accountant in your pocket, but it's not far off.&quot; - 2011 Android App Guide:<br><a href=""http://www.google.com/url?q=http://goo.gl/o9527&usg=AFQjCNGinJFaUXh-C52aYlynTnso2NCrQw"" target=""_blank"">http://goo.gl/o9527</a><p>Some of the feature highlights include:<p>- Works with your MS Money / Quicken export files. (QIF, OFX)<br>- 3 widgets<br>- Budget<br>- Recurring and split transactions<br>- Password security<br>- Automatic backup<br>- Multi-currency<br>- Custom categories and two classifications<br>- Reports (export to PDF, CSV)<br>- Transaction export to QIF, CSV<br>- Honeycomb Android 3.0 support<br>- Integrated with MyBackup Pro<p>Explanation of the various permissions and why they are needed:<p>Permission: Your personal information, add or modify calendar events and send email to guests, read calendar events. <br>Purpose: Used for creating recurring bill and follow-up reminders in the phone's calendar. <p>Pemission: Storage, modify/delete SD card contents <br>Purpose: Uses to back-up books and import/export QIF/OFX files <p>Pemission: System tools, prevents phone from sleeping <br>Purpose: For the few seconds while the auto backup and recurring transaction enter happens, keeps the phone from going to standby mode to prevent potential data loss. <p>Pemission: System tools, automatically start at boot <br>Purpose: Starts the alarm timer that performs the auto backup and recurring transaction enter functions.  No processing intensive tasks are performed at this time.",4.3,16,0.0,4,1,0,com.zvasvari.anmoneyf,"['inesoft.cash_organizer', 'com.catamount.pocketmoneylite', 'fourandroids.maorirus', 'pl.tierra.expenseregister']"
Budget Manager,"Budget Manager - This is a simple application that allows you to manually track transactions and balances of multiple accounts in order to keep your budget in check. Also, thank you for the feed back guys.<br>Road map: fix for same name on 2 accts, a widget, and password protection.<br> v0.1.1-Fix for new transaction day issue.",4.0,61,0.0,1,0,0,com.donnellydevelopmentdepot.finance.budgettracker,"['my.economy.eng', 'com.sdsoft.pfp', 'com.aaaplusdesign.myExpenseProFree', 'com.koollateral.myWallet']"
Mortgage Calculator,Home Loan Calculator<br>*Compares<br>  - Two loans ??? helps you decide between loans<br>  - Existing loan and a new loan ??? helps you make better refinancing decision<br>*Computes:<br>  - Amortization table<br>  - Monthly  payment<br>  - Total interest paid over the loan term<br>  -APR<br>*All major currencies are supported ??? no setting needed,4.2,41,0.0,1,0,0,com.xinifynetworks.mortgagecalculator,"['com.boondoggle.mortcalc', 'com.edmund.mortgageCalculator', 'com.davidwparker.MortgageCalculator', 'com.cityjams.calculators.fhamortgage']"
FTWCCU,"Fort Worth Community Credit Union serves persons who live, work or attend school in Tarrant, Parker, Johnson, and Denton counties.<p>FTWCCU???s mobile app will allow you to:<br>??? View check balances and history<br>??? Make Loan Payments<br>??? Pay bills<br>??? Transfer funds <br>??? Look up ATM???s or Offices.",3.0,4,0.0,4,0,0,com.ifs.banking.fiid3031,"['com.mshift.faacu', 'bokf.ib.android.market.bot', 'com.ifs.androidmobilebanking.fiid3379', 'com.mennesoft.android']"
gecu2go Mobile,"Manage your finances anytime, anywhere with gecu2go.<p>With the gecu2go Mobile app. you can track your balances, transfer money between accounts, view or pay your bills all on your mobile phone! It???s safe, fast and free!",3.9,74,0.0,4,0,0,com.ifs.mobilebanking.fiid3500,"['com.gp.fredloya', 'com.softek.ofxclmobile.elpasoemployeefcu', 'com.glitchtechscience.gtcheckbook', 'com.mfoundry.mb.android.mb_111906271']"
